artist_normalized,artist,avg_popularity,song_count,danceability,energy,valence,tempo,instrumentalness,year,category,nominee,listeners,playcount,tags
,,78.0,1,0.733,0.598,0.831,118.012,1.7e-05,,,,,,
2pac,,79.0,1,0.801,0.91,0.805,87.277,0.000891,,,,,,
3 doors down,,80.0,4,0.545,0.865,0.543,99.009,1.1e-05,,,,3164235.0,72956648.0,"rock, alternative rock, alternative, hard rock, 3 Doors Down"
5 seconds of summer,,80.0,2,0.6759999999999999,0.651,0.2915,129.6525,1.935e-06,,,,1872979.0,157301651.0,"pop rock, pop punk, rock, pop, australian"
50 cent,,83.0,1,0.899,0.713,0.777,90.051,0.0,,,,4233561.0,88568044.0,"rap, Hip-Hop, Gangsta Rap, hip hop, 50 Cent"
80purppp,,79.0,2,0.845,0.398,0.482,109.996,0.00713,,,,,,
aaryan shah,,79.0,1,0.551,0.561,0.207,103.118,0.367,,,,,,
abba,,81.0,3,0.6703333333333333,0.761,0.7513333333333333,117.815,0.0033640000000000002,,,,3621228.0,140328574.0,"pop, Disco, 70s, swedish, 80s"
acdc,,83.25,8,0.50725,0.8165,0.51,141.124375,0.005810125,,,,4953.0,129871.0,"hard rock, classic rock, Rock and Roll, rock, heavy metal"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Record Of The Year,Hello,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Album Of The Year,25,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Best Pop Solo Performance,Hello,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2016.0,Best Pop Vocal Album,25,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2012.0,Best Pop Solo Performance,Set Fire To The Rain [Live],4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2011.0,Record Of The Year,Rolling In The Deep,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2011.0,Album Of The Year,21,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2011.0,Best Pop Solo Performance,Someone Like You,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2011.0,Best Pop Vocal Album,21,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
adele,Adele,80.76470588235294,17,0.5307058823529411,0.5208235294117648,0.2957,119.09535294117646,1.9764705882352942e-07,2011.0,Best Short Form Music Video,Rolling In The Deep,4926433.0,258258244.0,"soul, female vocalists, british, singer-songwriter, indie"
aditya a,,81.0,1,0.729,0.396,0.886,97.281,0.0,,,,38402.0,510185.0,"pop, india"
aerosmith,,82.0,2,0.307,0.433,0.224,160.9,9.08e-05,,,,4109646.0,102726210.0,"rock, classic rock, hard rock, 80s, 70s"
aespa,,78.0,1,0.57,0.974,0.65,171.958,0.000594,,,,,,
aha,,85.0,2,0.573,0.902,0.876,84.412,0.00125,,,,27936.0,200904.0,"80s, swedish, rock, synth pop, svenskt"
aimer,,77.0,1,0.367,0.896,0.38,170.863,0.0,,,,,,
ajr,,80.0,1,0.68,0.697,0.684,116.033,0.0,,,,1036922.0,44412182.0,"seen live, indie pop, pop, indie, new york"
akon,,81.0,1,0.634,0.526,0.623,90.087,0.0,,,,3191080.0,44742092.0,"Hip-Hop, rnb, rap, hip hop, pop"
alan walker,,80.0,2,0.468,0.627,0.159,179.642,7.97e-06,,,,1463013.0,37645655.0,"electronic, House, EDM, dance, norwegian"
alec benjamin,,82.25,4,0.61875,0.556,0.5,138.81775,1.85e-05,,,,1136174.0,41868791.0,"pop, american, indie pop, seen live, indie"
alessia cara,,78.0,2,0.573,0.739,0.451,97.085,0.0,,,,,,
ali gatie,,80.0,2,0.732,0.463,0.397,95.971,0.0,,,,499340.0,6932383.0,"rnb, pop, soul, Canadian, canada"
alicia keys,Alicia Keys,79.0,2,0.6265000000000001,0.49650000000000005,0.1665,104.221,7.855e-06,2013.0,Best R&B Album,Girl On Fire,3638961.0,79948461.0,"soul, rnb, female vocalists, pop, singer-songwriter"
american authors,,79.0,3,0.673,0.902,0.538,100.012,0.000262,,,,,,
amy winehouse,Amy Winehouse,81.0,2,0.403,0.422,0.378,122.728,2.05e-05,2015.0,Best Music Film,Amy,3989201.0,159134046.0,"soul, jazz, female vocalists, british, singer-songwriter"
anitta,,84.0,2,0.812,0.736,0.396,91.993,0.00254,,,,1010063.0,126187150.0,"pop, brazilian, funk, female vocalists, dance"
annemarie,,82.0,3,0.697,0.6830000000000002,0.603,96.133,0.0,,,,16929.0,156284.0,"indie pop, twee, indonesia, indie, indonesian"
anuel aa,,79.0,4,0.7035,0.6475,0.6615,169.01600000000002,0.00047555000000000004,,,,498108.0,21703568.0,"Reggaeton, trap, rap, latin, Hip-Hop"
ap dhillon,,83.0,2,0.86,0.541,0.952,114.984,0.163,,,,100200.0,6118439.0,"Bhangra, canada, Indian, india, Punjabi"
arctic monkeys,,84.65217391304348,23,0.5524347826086956,0.6541739130434783,0.5776086956521739,112.25256521739131,0.0029344382608695652,,,,6181447.0,735215151.0,"indie rock, indie, british, rock, alternative"
ariana grande,Ariana Grande,82.0,10,0.7232000000000001,0.5993999999999999,0.3976,134.71189999999999,6.4759999999999995e-06,2019.0,Record Of The Year,7 rings,3786287.0,840414287.0,"pop, rnb, female vocalists, Ariana Grande, american"
ariana grande,Ariana Grande,82.0,10,0.7232000000000001,0.5993999999999999,0.3976,134.71189999999999,6.4759999999999995e-06,2019.0,Album Of The Year,"thank u, next",3786287.0,840414287.0,"pop, rnb, female vocalists, Ariana Grande, american"
ariana grande,Ariana Grande,82.0,10,0.7232000000000001,0.5993999999999999,0.3976,134.71189999999999,6.4759999999999995e-06,2019.0,Best Pop Solo Performance,7 rings,3786287.0,840414287.0,"pop, rnb, female vocalists, Ariana Grande, american"
ariana grande,Ariana Grande,82.0,10,0.7232000000000001,0.5993999999999999,0.3976,134.71189999999999,6.4759999999999995e-06,2019.0,Best Pop Vocal Album,"thank u, next",3786287.0,840414287.0,"pop, rnb, female vocalists, Ariana Grande, american"
ariana grande,Ariana Grande,82.0,10,0.7232000000000001,0.5993999999999999,0.3976,134.71189999999999,6.4759999999999995e-06,2018.0,Best Pop Vocal Album,Sweetener,3786287.0,840414287.0,"pop, rnb, female vocalists, Ariana Grande, american"
armani white,,89.0,2,0.9,0.509,0.765,100.007,1.67e-06,,,,414921.0,3867292.0,"rap, Hip-Hop, Philadelphia, USA, american"
audioslave,,78.0,3,0.614,0.568,0.516,107.849,0.0,,,,,,
aurora,,79.0,1,0.422,0.302,0.123,114.089,7.83e-05,,,,,,
ava max,,80.0,3,0.657,0.7766666666666667,0.5043333333333333,126.28666666666668,0.0,,,,1318036.0,54759142.0,"pop, electropop, female vocalists, american, electronic"
avicii,,83.625,8,0.5483750000000001,0.804,0.61725,126.018375,0.10379999999999999,,,,2932451.0,94468730.0,"House, electronic, dance, Progressive House, electro house"
axwell  ingrosso,,80.0,4,0.646,0.741,0.571,123.077,0.0,,,,534.0,6341.0,
backstreet boys,,81.0,1,0.689,0.694,0.482,99.039,0.0,,,,2568092.0,52488114.0,"pop, boybands, 90s, backstreet boys, seen live"
bad bunny,Bad Bunny,87.08333333333333,48,0.7895833333333333,0.6467291666666667,0.4896041666666667,115.85827083333334,0.00015695875,2019.0,"Best Latin Rock, Urban or Alternative Album",X 100Pre,1724912.0,249684032.0,"Reggaeton, latin, trap, puerto rico, trap latino"
bailey zimmerman,,84.0,1,0.582,0.568,0.394,121.991,0.0,,,,196450.0,5721076.0,"country, contemporary country, singer-songwriter, USA, american"
beach bunny,,80.5,6,0.5825,0.863,0.8264999999999999,112.37950000000001,0.0055131,,,,1269066.0,34518760.0,"indie rock, indie pop, indie, seen live, power pop"
beach weather,,90.0,1,0.572,0.839,0.465,143.969,0.00976,,,,1087034.0,18181146.0,"indie, indie rock, seen live, rock, indie pop"
becky g,,78.0,4,0.699,0.529,0.121,119.987,3.59e-05,,,,,,
bee gees,,80.0,1,0.702,0.773,0.953,103.564,0.00871,,,,3005945.0,55988292.0,"Disco, pop, 70s, classic rock, oldies"
ben e king,,80.0,4,0.65,0.306,0.605,118.068,7.07e-06,,,,4103.0,18483.0,"soul, 60s, All, yanfire, yan drive"
benson boone,,86.0,1,0.362,0.54,0.3,78.007,0.0,,,,1015892.0,25723996.0,"pop, pop rock, seen live, rock, USA"
beyonce,Beyoncé,93.0,1,0.78,0.689,0.642,115.042,9.69e-06,2019.0,Best Pop Solo Performance,Spirit,18993.0,392250.0,"rnb, pop, beyonce, female vocalists, american"
beyonce,Beyoncé,93.0,1,0.78,0.689,0.642,115.042,9.69e-06,2019.0,Best Pop Vocal Album,The Lion King: The Gift,18993.0,392250.0,"rnb, pop, beyonce, female vocalists, american"
beyonce,Beyoncé,93.0,1,0.78,0.689,0.642,115.042,9.69e-06,2019.0,Best Music Film,Homecoming,18993.0,392250.0,"rnb, pop, beyonce, female vocalists, american"
beyonce,Beyoncé,93.0,1,0.78,0.689,0.642,115.042,9.69e-06,2016.0,Best Urban Contemporary Album,Lemonade,18993.0,392250.0,"rnb, pop, beyonce, female vocalists, american"
beyonce,Beyoncé,93.0,1,0.78,0.689,0.642,115.042,9.69e-06,2016.0,Best Music Video,Formation,18993.0,392250.0,"rnb, pop, beyonce, female vocalists, american"
beyonce,Beyoncé,93.0,1,0.78,0.689,0.642,115.042,9.69e-06,2012.0,Best Traditional R&B Performance,Love On Top,18993.0,392250.0,"rnb, pop, beyonce, female vocalists, american"
bill withers,,79.0,2,0.527,0.415,0.515,78.169,1.72e-05,,,,,,
billie eilish,Billie Eilish,82.66666666666667,9,0.535,0.41544444444444445,0.27944444444444444,133.12155555555557,0.10003911111111112,2019.0,Record Of The Year,Bad Guy,3531163.0,626576259.0,"pop, indie pop, seen live, electropop, indie"
billie eilish,Billie Eilish,82.66666666666667,9,0.535,0.41544444444444445,0.27944444444444444,133.12155555555557,0.10003911111111112,2019.0,Album Of The Year,"When We All Fall Asleep, Where Do We Go?",3531163.0,626576259.0,"pop, indie pop, seen live, electropop, indie"
billie eilish,Billie Eilish,82.66666666666667,9,0.535,0.41544444444444445,0.27944444444444444,133.12155555555557,0.10003911111111112,2019.0,Best Pop Solo Performance,Bad Guy,3531163.0,626576259.0,"pop, indie pop, seen live, electropop, indie"
billie eilish,Billie Eilish,82.66666666666667,9,0.535,0.41544444444444445,0.27944444444444444,133.12155555555557,0.10003911111111112,2019.0,Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",3531163.0,626576259.0,"pop, indie pop, seen live, electropop, indie"
billy joel,,78.5,10,0.5795,0.6801,0.5137,131.83859999999999,3.96e-07,,,,,,
blackbear,,80.5,4,0.75,0.49050000000000005,0.5700000000000001,137.33499999999998,0.0,,,,1482488.0,58664823.0,"electronic, pop, rnb, Hip-Hop, hip hop"
blackpink,,82.5,12,0.7553333333333333,0.6469999999999999,0.58175,113.79691666666668,0.0,,,,1523075.0,265464472.0,"k-pop, Kpop, pop, Korean, girl group"
blink182,,79.85714285714286,7,0.4692857142857143,0.8885714285714286,0.6155714285714285,144.3847142857143,0.00010889714285714286,,,,399.0,4719.0,"punk rock, seen live, pop punk"
blur,,78.0,1,0.674,0.789,0.918,129.802,0.00708,,,,,,
boa,,77.0,1,0.583,0.888,0.706,93.206,4.58e-05,,,,,,
bob marley  the wailers,,78.0,2,0.871,0.605,0.6935,88.719,8.2205e-05,,,,,,
bon jovi,,82.4,5,0.5414000000000001,0.9120000000000001,0.6980000000000001,121.56179999999999,9.145e-05,,,,3626079.0,97698640.0,"rock, hard rock, classic rock, 80s, hair metal"
boston,,79.0,2,0.377,0.681,0.285,108.789,0.0023,,,,,,
bring me the horizon,Bring Me The Horizon,81.0,3,0.15,0.859,0.3539999999999999,170.527,0.19400000000000003,2019.0,Best Rock Album,amo,2396669.0,251581977.0,"deathcore, metalcore, hardcore, screamo, metal"
britney spears,,79.0,1,0.788,0.844,0.382,113.324,0.000678,,,,,,
brns,,82.0,1,0.611,0.797,0.518,120.041,0.00137,,,,28174.0,390403.0,"seen live, indie, alternative, experimental, Pop-Rock"
bruce springsteen,,78.0,2,0.527,0.942,0.495,148.723,0.0,,,,,,
bruno mars,Bruno Mars,83.2,5,0.642,0.6557999999999999,0.46155999999999997,135.763,0.0,2017.0,Record Of The Year,24K Magic,4399991.0,218227574.0,"pop, rnb, male vocalists, r&b, slow jams"
bruno mars,Bruno Mars,83.2,5,0.642,0.6557999999999999,0.46155999999999997,135.763,0.0,2017.0,Album Of The Year,24K Magic,4399991.0,218227574.0,"pop, rnb, male vocalists, r&b, slow jams"
bruno mars,Bruno Mars,83.2,5,0.642,0.6557999999999999,0.46155999999999997,135.763,0.0,2017.0,Best R&B Performance,That's What I Like,4399991.0,218227574.0,"pop, rnb, male vocalists, r&b, slow jams"
bruno mars,Bruno Mars,83.2,5,0.642,0.6557999999999999,0.46155999999999997,135.763,0.0,2017.0,Best R&B Album,24K Magic,4399991.0,218227574.0,"pop, rnb, male vocalists, r&b, slow jams"
bruno mars,Bruno Mars,83.2,5,0.642,0.6557999999999999,0.46155999999999997,135.763,0.0,2013.0,Best Pop Vocal Album,Unorthodox Jukebox,4399991.0,218227574.0,"pop, rnb, male vocalists, r&b, slow jams"
bruno mars,Bruno Mars,83.2,5,0.642,0.6557999999999999,0.46155999999999997,135.763,0.0,2010.0,Best Male Pop Vocal Performance,Just The Way You Are,4399991.0,218227574.0,"pop, rnb, male vocalists, r&b, slow jams"
bryan adams,,80.75,4,0.47650000000000003,0.7727499999999999,0.66425,139.363,0.0,,,,2599009.0,42765603.0,"rock, classic rock, 80s, pop, Canadian"
bts,,81.5,16,0.673625,0.7085,0.6211875,112.186125,0.0,,,,1918674.0,2266746255.0,"k-pop, Korean, Kpop, bts, pop"
buffalo springfield,,78.0,4,0.653,0.519,0.822,98.883,0.0209,,,,,,
burna boy,Burna Boy,81.0,2,0.795,0.565,0.55,87.925,0.0,2019.0,Best World Music Album,African Giant,618914.0,17783299.0,"rap, Hip-Hop, nigeria, afrobeats, seen live"
cafune,,81.5,2,0.38549999999999995,0.9315,0.4865,157.9795,4.84e-06,,,,9749.0,50699.0,
cage the elephant,Cage The Elephant,79.0,4,0.636,0.676,0.273,113.98,0.0,2019.0,Best Rock Album,Social Cues,2916127.0,116833733.0,"indie rock, alternative, rock, indie, punk rock"
cage the elephant,Cage The Elephant,79.0,4,0.636,0.676,0.273,113.98,0.0,2016.0,Best Rock Album,Tell Me I'm Pretty,2916127.0,116833733.0,"indie rock, alternative, rock, indie, punk rock"
calvin harris,,81.0,6,0.6515,0.89,0.831,127.943,0.012415,,,,4333641.0,166218776.0,"electronic, dance, electro, Disco, seen live"
camilo,,78.0,1,0.69,0.58,0.708,197.635,0.0,,,,,,
capital cities,,83.0,1,0.655,0.819,0.766,117.956,0.00374,,,,1618277.0,22086612.0,"electronic, indie, electropop, pop, rock"
carly rae jepsen,,80.0,1,0.783,0.58,0.66,120.021,2.28e-06,,,,2549207.0,129568187.0,"pop, Canadian, female vocalists, folk, acoustic"
carrie underwood,Carrie Underwood,78.0,1,0.519,0.749,0.29,147.905,0.0,2014.0,Best Country Solo Performance,Something In The Water,1620039.0,31699860.0,"country, female vocalists, pop, American Idol, Carrie Underwood"
carrie underwood,Carrie Underwood,78.0,1,0.519,0.749,0.29,147.905,0.0,2012.0,Best Country Solo Performance,Blown Away,1620039.0,31699860.0,"country, female vocalists, pop, American Idol, Carrie Underwood"
cavetown,,78.66666666666667,3,0.556,0.6436666666666667,0.4096666666666667,121.175,0.0007599999999999999,,,,,,
charlie puth,,81.33333333333333,3,0.7663333333333333,0.5870000000000001,0.7316666666666668,107.72466666666666,2.77e-05,,,,1955141.0,111664027.0,"pop, rnb, soul, USA, american"
chord overstreet,,82.0,1,0.618,0.443,0.167,119.949,0.0,,,,338510.0,3500183.0,"glee, pop, Glee Cast, Soundtrack, male vocalists"
chris brown,Chris Brown,96.0,2,0.733,0.69,0.31,116.992,1.18e-06,2011.0,Best R&B Album,F.A.M.E.,4170455.0,114041059.0,"rnb, Hip-Hop, Chris Brown, rap, hip hop"
chris stapleton,Chris Stapleton,81.0,1,0.392,0.37,0.512,48.718,0.0096,2017.0,Best Country Solo Performance,Either Way,662193.0,20571214.0,"country, americana, singer-songwriter, folk, bluegrass"
chris stapleton,Chris Stapleton,81.0,1,0.392,0.37,0.512,48.718,0.0096,2017.0,Best Country Album,From A Room: Volume 1,662193.0,20571214.0,"country, americana, singer-songwriter, folk, bluegrass"
chris stapleton,Chris Stapleton,81.0,1,0.392,0.37,0.512,48.718,0.0096,2015.0,Best Country Solo Performance,Traveller,662193.0,20571214.0,"country, americana, singer-songwriter, folk, bluegrass"
chris stapleton,Chris Stapleton,81.0,1,0.392,0.37,0.512,48.718,0.0096,2015.0,Best Country Album,Traveller,662193.0,20571214.0,"country, americana, singer-songwriter, folk, bluegrass"
christina perri,,81.0,3,0.421,0.407,0.161,139.028,0.000961,,,,1662253.0,23125520.0,"female vocalists, pop, singer-songwriter, indie, rock"
cigarettes after sex,,80.4,10,0.40570000000000006,0.4505,0.2102,88.5207,0.7211000000000001,,,,2279801.0,211201114.0,"dream pop, seen live, shoegaze, slowcore, Lo-Fi"
clairo,,80.5,4,0.6265000000000001,0.31785,0.435,160.4835,0.0018736,,,,2343892.0,236446865.0,"bedroom pop, dream pop, indie pop, seen live, Lo-Fi"
clinton kane,,77.0,1,0.422,0.34,0.223,77.213,1.77e-05,,,,,,
coldplay,,85.0,1,0.491,0.693,0.412,90.027,6.92e-06,,,,7959324.0,616108199.0,"rock, alternative, britpop, alternative rock, indie"
cole swindell,,82.0,1,0.607,0.912,0.722,134.944,0.0,,,,209092.0,3824057.0,"country, racist, youngstar, KKK Country, racist country"
conan gray,,87.0,1,0.357,0.425,0.27,102.078,0.0,,,,1959703.0,170697818.0,"seen live, indie, pop, indie pop, american"
corinne bailey rae,Corinne Bailey Rae,77.0,1,0.739,0.511,0.542,96.038,1.34e-06,2011.0,Best R&B Performance,Is This Love,1866662.0,23630962.0,"soul, female vocalists, jazz, singer-songwriter, pop"
creedence clearwater revival,,82.25,4,0.6575,0.70775,0.78825,135.9835,0.0020276175,,,,3631832.0,101694667.0,"classic rock, rock, Southern Rock, 60s, folk"
cults,,81.0,2,0.174,0.742,0.36,163.378,0.281,,,,2077356.0,44135178.0,"indie pop, Lo-Fi, experimental, seen live, noise"
cyndi lauper,,79.0,1,0.71,0.799,0.725,120.372,0.000602,,,,,,
daddy yankee,,80.71428571428571,7,0.7804285714285715,0.845,0.8185714285714286,95.57771428571428,1.5371428571428572e-06,,,,1808305.0,37294509.0,"Reggaeton, latin, Hip-Hop, spanish, rap"
danny ocean,,79.0,3,0.7440000000000001,0.8039999999999999,0.426,104.823,0.0,,,,411836.0,8639464.0,"Reggaeton, electronic, latin, venezuela, pop"
darius rucker,Darius Rucker,78.0,1,0.537,0.66,0.574,148.096,0.0,2013.0,Best Country Solo Performance,Wagon Wheel,659589.0,7230600.0,"country, new country, pop, rock, Hootie and the Blowfish"
declan mckenna,,80.0,3,0.6869999999999999,0.617,0.665,121.079,1.2700000000000002e-05,,,,1215626.0,39624516.0,"seen live, indie pop, indie rock, indie, electronic"
